2021-08-05T16:38:46+02:00
Running build/bin/bench
Run on (8 X 3900 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 1024 KiB (x4)
  L3 Unified 8448 KiB (x1)
Load Average: 0.05, 0.19, 0.30
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"BytesProcessed","ItemsProcessed","dataSize","wireSize"
"Flatbuffers(object api)/10000/0/0/repeats:3",11933,57314.8,57312.6,ns,,,,,,4.89304e+09,17448.2,280433,280680
"Flatbuffers(object api)/10000/0/0/repeats:3_mean",3,57711.3,57710.3,ns,,,,,,4.85946e+09,17328.4,280433,280680
"Flatbuffers(object api)/10000/0/0/repeats:3_median",3,57786.3,57785.6,ns,,,,,,4.85299e+09,17305.4,280433,280680
"Flatbuffers(object api)/10000/0/0/repeats:3_stddev",3,364.878,365.841,ns,,,,,,3.08637e+07,110.057,0,0
"Flatbuffers(object api)/10/100/1/repeats:3",23175,30953.8,30952.7,ns,,,,,,6.50346e+07,32307.3,2013,11592
"Flatbuffers(object api)/10/100/1/repeats:3",23175,30153.6,30153.1,ns,,,,,,6.67593e+07,33164.1,2013,11600
"Flatbuffers(object api)/10/100/1/repeats:3",23175,29984.5,29983.6,ns,,,,,,6.71367e+07,33351.6,2013,11592
"Flatbuffers(object api)/10/100/1/repeats:3_mean",3,30364,30363.1,ns,,,,,,6.63102e+07,32941,2013,11594.7
"Flatbuffers(object api)/10/100/1/repeats:3_median",3,30153.6,30153.1,ns,,,,,,6.67593e+07,33164.1,2013,11592
"Flatbuffers(object api)/10/100/1/repeats:3_stddev",3,517.799,517.591,ns,,,,,,1.12069e+06,556.728,0,4.6188
"Flatbuffers(object api)/256/0/0/repeats:3",394600,1733.54,1733.53,ns,,,,,,4.38469e+09,576857,7601,7848
"Flatbuffers(object api)/256/0/0/repeats:3",394600,1746.33,1746.29,ns,,,,,,4.35265e+09,572642,7601,7848
"Flatbuffers(object api)/256/0/0/repeats:3",394600,1777.25,1777.23,ns,,,,,,4.27688e+09,562674,7601,7848
"Flatbuffers(object api)/256/0/0/repeats:3_mean",3,1752.37,1752.35,ns,,,,,,4.33807e+09,570724,7601,7848
"Flatbuffers(object api)/256/0/0/repeats:3_median",3,1746.33,1746.29,ns,,,,,,4.35265e+09,572642,7601,7848
"Flatbuffers(object api)/256/0/0/repeats:3_stddev",3,22.4729,22.4689,ns,,,,,,5.53599e+07,7283.23,0,0
"Flatbuffers(object api)/512/0/0/repeats:3",257361,2677.99,2677.94,ns,,,,,,5.51506e+09,373421,14769,15016
"Flatbuffers(object api)/512/0/0/repeats:3",257361,2677,2676.95,ns,,,,,,5.5171e+09,373559,14769,15016
"Flatbuffers(object api)/512/0/0/repeats:3",257361,2663.23,2663.22,ns,,,,,,5.54555e+09,375486,14769,15016
"Flatbuffers(object api)/512/0/0/repeats:3_mean",3,2672.74,2672.7,ns,,,,,,5.5259e+09,374156,14769,15016
"Flatbuffers(object api)/512/0/0/repeats:3_median",3,2677,2676.95,ns,,,,,,5.5171e+09,373559,14769,15016
"Flatbuffers(object api)/512/0/0/repeats:3_stddev",3,8.2502,8.231,ns,,,,,,1.70477e+07,1154.29,0,0
"Flatbuffers(object api)/1024/0/0/repeats:3",138655,4932.96,4932.81,ns,,,,,,5.90028e+09,202724,29105,29352
"Flatbuffers(object api)/1024/0/0/repeats:3",138655,4784.03,4783.96,ns,,,,,,6.08387e+09,209032,29105,29352
"Flatbuffers(object api)/1024/0/0/repeats:3",138655,4749.85,4749.78,ns,,,,,,6.12765e+09,210536,29105,29352
"Flatbuffers(object api)/1024/0/0/repeats:3_mean",3,4822.28,4822.19,ns,,,,,,6.03727e+09,207431,29105,29352
"Flatbuffers(object api)/1024/0/0/repeats:3_median",3,4784.03,4783.96,ns,,,,,,6.08387e+09,209032,29105,29352
"Flatbuffers(object api)/1024/0/0/repeats:3_stddev",3,97.3599,97.3192,ns,,,,,,1.20635e+08,4144.81,0,0
"Flatbuffers(object api)/2048/0/0/repeats:3",76265,9052.53,9052.39,ns,,,,,,6.38251e+09,110468,57777,58024
"Flatbuffers(object api)/2048/0/0/repeats:3",76265,8942.07,8941.96,ns,,,,,,6.46133e+09,111832,57777,58024
"Flatbuffers(object api)/2048/0/0/repeats:3",76265,8915.08,8914.98,ns,,,,,,6.48089e+09,112171,57777,58024
"Flatbuffers(object api)/2048/0/0/repeats:3_mean",3,8969.89,8969.78,ns,,,,,,6.44158e+09,111490,57777,58024
"Flatbuffers(object api)/2048/0/0/repeats:3_median",3,8942.07,8941.96,ns,,,,,,6.46133e+09,111832,57777,58024
"Flatbuffers(object api)/2048/0/0/repeats:3_stddev",3,72.8256,72.8052,ns,,,,,,5.20781e+07,901.364,0,0
"Flatbuffers(object api)/4096/0/0/repeats:3",38823,18009.8,18008.8,ns,,,,,,6.39248e+09,55528.3,115121,115368
"Flatbuffers(object api)/4096/0/0/repeats:3",38823,18193.4,18193.1,ns,,,,,,6.32774e+09,54966,115121,115368
"Flatbuffers(object api)/4096/0/0/repeats:3",38823,18099.3,18098.9,ns,,,,,,6.36066e+09,55251.9,115121,115368
